angle_1,velocity_1 angle_2,velocity_2
-0.383138,0.093037,0.91217,-0.165722
-0.382993,0.093037,0.912315,-0.174444
-0.382847,0.101759,0.912461,-0.229685
-0.382644,0.110481,0.912606,-0.206426
-0.38247,0.133741,0.91278,-0.188981
-0.382237,0.142463,0.912868,-0.174444
-0.382033,0.151185,0.912955,-0.229685
-0.381801,0.142463,0.913071,-0.24713
-0.381539,0.165722,0.913158,-0.174444
-0.381277,0.174444,0.913158,-0.125019
-0.3809,0.174444,0.9131,-0.165722
-0.380522,0.183167,0.913129,-0.165722
-0.380085,0.165722,0.913042,-0.0465185
-0.379678,0.165722,0.912693,0
-0.3793,0.151185,0.912315,0
-0.379039,0.142463,0.912054,0
-0.37869,0.151185,0.911676,0.0610556
-0.378399,0.125019,0.911327,0
-0.378137,0.151185,0.911036,0
-0.377876,0.133741,0.910803,-0.093037
-0.377643,0.125019,0.910687,-0.0290741
-0.37744,0.110481,0.910513,0
-0.377265,0.093037,0.91028,0.0377963
-0.377091,0.101759,0.910077,0
-0.376887,0.093037,0.909902,-0.0465185
-0.376684,0.0872222,0.909728,0
-0.376509,0.0610556,0.909553,0
-0.376335,0.0697778,0.909379,0
-0.37619,0.0697778,0.909233,-0.0610556
-0.376015,0.0552407,0.909088,0
-0.375899,0.0610556,0.908972,0
-0.375753,0.0785,0.908826,-0.0232593
-0.375637,0.0610556,0.908797,-0.0872222
-0.375521,0.0610556,0.908826,-0.0465185
-0.375405,0.0290741,0.908739,0
-0.375317,0.014537,0.908652,0
-0.37523,0.014537,0.908565,-0.0552407
-0.375172,0,0.908594,-0.0610556
-0.375114,0,0.908594,0
-0.375056,0.0465185,0.908536,0
-0.374997,0.0465185,0.908477,0
-0.374939,0,0.908477,-0.0290741
-0.374939,0,0.908536,0
-0.37491,0,0.908477,0.00581481
-0.37491,0,0.908448,0
-0.37491,0,0.908477,-0.0610556
-0.37491,0,0.908623,0
-0.37491,0,0.908623,0
-0.37491,0,0.908565,0.0290741
-0.37491,0,0.908536,-0.0232593
-0.37491,0,0.908594,-0.0552407
-0.37491,-0.0377963,0.908652,0
-0.374939,0,0.908652,0.0465185
-0.374939,0,0.908623,0
-0.374939,0,0.908652,-0.0290741
-0.374939,0,0.908739,0
-0.374939,0,0.908739,0.0290741
-0.374939,0,0.908652,0
-0.374939,0,0.908652,-0.0232593
-0.374939,0,0.908739,0
-0.374939,0,0.908739,0.00581481
-0.374939,0,0.908681,0.0552407
-0.374939,0,0.908652,0
-0.374939,0,0.90871,-0.0552407
-0.374939,0,0.908768,0
-0.374939,0,0.908768,0.0290741
-0.374939,0,0.90871,0
-0.374939,0,0.90871,-0.00581481
-0.374939,0,0.908768,0
-0.374939,0,0.908768,0
-0.374939,0,0.908739,0
-0.374939,0,0.908768,-0.0290741
-0.374939,0,0.908797,0
-0.374939,0,0.908797,0.0465185
-0.374939,0,0.908739,0
-0.374939,0,0.908768,-0.0377963
-0.374939,0,0.908797,0
-0.374939,0,0.908768,0
-0.374939,0,0.908739,0
-0.374939,0,0.908768,-0.0290741
-0.374939,0,0.908826,0
-0.374939,0,0.908768,0.0552407
-0.374939,0,0.90871,0
-0.374939,0,0.90871,-0.0552407
-0.374939,0,0.908826,0
-0.374939,0,0.908797,0.0377963
-0.374939,0,0.908739,0
-0.374939,0,0.908739,-0.0610556
-0.374939,0,0.908855,0
-0.374939,0,0.908855,0
-0.374939,0,0.908797,0
-0.374939,0,0.908768,0
-0.374939,0,0.908797,-0.014537
-0.374939,0,0.908855,0
-0.374939,0,0.908855,0.0290741
-0.374939,0,0.908768,0
-0.37491,0,0.908739,-0.0465185
-0.37491,0,0.908855,-0.0610556
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908855,0
-0.37491,0,0.908855,-0.0552407
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908914,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908885,0
-0.37491,0,0.908914,-0.093037
-0.37491,0,0.909117,0
-0.37491,0,0.909146,0.0290741
