torque_1,torque_2
0.485323,-0.644229
0.481123,-0.645429
0.476573,-0.646629
0.472373,-0.648129
0.467823,-0.649329
0.463623,-0.650529
0.459073,-0.651729
0.454873,-0.652929
0.450323,-0.654429
0.446123,-0.655629
0.441573,-0.655957
0.437373,-0.657157
0.432823,-0.658657
0.428623,-0.659857
0.424073,-0.661057
0.419523,-0.662257
0.415323,-0.663457
0.410773,-0.664957
0.406573,-0.666157
0.402023,-0.667357
0.397823,-0.668557
0.393273,-0.669757
0.389073,-0.671257
0.384523,-0.672457
0.380323,-0.673657
0.375773,-0.674857
0.371573,-0.676057
0.367023,-0.677257
0.362473,-0.678757
0.358273,-0.679957
0.353723,-0.680284
0.350541,-0.682357
0.345991,-0.683266
0.341791,-0.683012
0.337241,-0.68364
0.355804,-0.685712
0.329508,-0.68982
0.324958,-0.68724
0.320758,-0.68844
0.316208,-0.68964
0.312008,-0.69084
0.307458,-0.69234
0.302908,-0.69354
0.298708,-0.69474
0.294158,-0.69594
0.289958,-0.69714
0.285408,-0.69834
0.281208,-0.69954
0.276658,-0.70104
0.272108,-0.70224
0.267908,-0.70344
0.263358,-0.70464
0.259158,-0.70584
0.254608,-0.70704
0.250058,-0.70824
0.245858,-0.70944
0.241308,-0.71094
0.237108,-0.71214
0.232558,-0.71334
0.231352,-0.715412
0.224826,-0.71574
0.221293,-0.717812
0.216743,-0.71814
0.212543,-0.718468
0.220641,-0.72054
0.204811,-0.72174
0.201279,-0.72294
0.196729,-0.72444
0.194564,-0.727384
0.190014,-0.729166
0.195785,-0.728912
0.182281,-0.730112
0.188053,-0.735964
0.175566,-0.733384
0.171016,-0.73662
0.167484,-0.734912
0.186398,-0.736112
0.160769,-0.737312
0.156219,-0.738512
0.153037,-0.741166
0.164623,-0.741494
0.145972,-0.747636
0.14279,-0.748264
0.139257,-0.744812
0.147704,-0.746884
0.138357,-0.753609
0.127992,-0.748412
0.127136,-0.751647
0.121278,-0.751394
0.129375,-0.753466
0.129681,-0.75612
0.134144,-0.75732
0.108516,-0.761136
0.106351,-0.760592
0.124915,-0.758012
0.10859,-0.763864
0.0971211,-0.75954
0.116703,-0.766264
0.0910739,-0.76194
0.0943739,-0.768664
0.109508,-0.769864
0.101033,-0.768447
0.0833998,-0.771973
0.107692,-0.772301
0.109684,-0.770303
0.0999007,-0.773829
0.110092,-0.774157
0.08301,-0.773903
0.110587,-0.772486
0.102462,-0.777757
0.097185,-0.775759
0.0956878,-0.779284
0.0917193,-0.77874
0.103365,-0.780812
0.105356,-0.777942
0.10037,-0.781468
0.0816331,-0.780923
0.0942369,-0.782123
0.101753,-0.781579
0.0981341,-0.781907
0.102161,-0.781362
0.0843822,-0.782271
0.0977128,-0.779983
0.0940943,-0.779438
0.0888174,-0.778021
0.0966239,-0.77456
0.0951267,-0.774016
0.0901998,-0.774053
0.101495,-0.769147
0.0892406,-0.766859
0.085622,-0.763116
0.0841248,-0.759664
0.0964378,-0.756503
0.0934869,-0.755086
0.0933572,-0.749599
0.0755785,-0.748764
0.0785878,-0.744731
0.0746193,-0.74157
0.073472,-0.736664
0.0927628,-0.73612
0.0887943,-0.732659
0.0838081,-0.729207
0.0906563,-0.72372
0.0773841,-0.72114
0.0630943,-0.713618
0.0881998,-0.709584
0.0800748,-0.706133
0.0737804,-0.698901
0.0791156,-0.69574
0.0752924,-0.687346
0.0731276,-0.681868
0.0795128,-0.678162
0.0739183,-0.674457
0.0661433,-0.67017
0.0505776,-0.667918
0.0601017,-0.661886
0.0641017,-0.659053
0.076447,-0.657092
0.0721609,-0.653086
0.0572628,-0.650544
0.0601591,-0.64771
0.0688109,-0.646621
0.0680137,-0.646405
0.0585535,-0.643571
0.0660424,-0.642483
0.0594304,-0.638777
0.0390081,-0.63856
0.0385609,-0.636599
0.0588424,-0.636383
0.05601,-0.632377
0.0347748,-0.631579
0.0354313,-0.631071
0.0488804,-0.628529
0.0355813,-0.624242
0.030773,-0.628968
0.0196544,-0.629914
0.0412443,-0.625918
0.0143396,-0.634123
0.0104896,-0.629546
0.0262646,-0.632818
0.00380722,-0.635218
0.000307222,-0.637618
0.0195711,-0.64089
-0.00637519,-0.64329
-0.0102252,-0.64569
