angle_1 angle_2
-0.909118 2.10584
-0.909088 2.10584
-0.909059 2.10584
-0.909001 2.10581
-0.908972 2.10581
-0.908943 2.10584
-0.908914 2.10581
-0.908885 2.10581
-0.908856 2.10581
-0.908798 2.10578
-0.908798 2.10578
-0.908769 2.10578
-0.90874 2.10578
-0.90871 2.10575
-0.90871 2.10578
-0.908652 2.10572
-0.908652 2.10575
-0.908623 2.10572
-0.908623 2.10575
-0.908594 2.10572
-0.908594 2.10572
-0.908565 2.10572
-0.908565 2.10572
-0.908565 2.10572
-0.908536 2.10572
-0.908536 2.10572
-0.908536 2.10572
-0.908536 2.10575
-0.908507 2.10575
-0.908507 2.10575
-0.908507 2.10575
-0.908478 2.10572
-0.908478 2.10572
-0.908478 2.10572
-0.908478 2.10575
-0.908449 2.10572
-0.908449 2.10572
-0.908449 2.10572
-0.90842 2.10569
-0.90842 2.10572
-0.90842 2.10572
-0.908391 2.10569
-0.908391 2.10569
-0.908391 2.10569
-0.908362 2.10569
-0.908333 2.10566
-0.908303 2.10566
-0.908303 2.10566
-0.908274 2.10563
-0.908245 2.10563
-0.908216 2.1056
-0.908187 2.1056
-0.908158 2.1056
-0.908129 2.1056
-0.9081 2.1056
-0.908071 2.1056
-0.908013 2.10557
-0.907955 2.10555
-0.907896 2.10555
-0.907867 2.10555
-0.907809 2.10555
-0.907751 2.10555
-0.907664 2.10552
-0.907606 2.10552
-0.907518 2.10549
-0.907431 2.10546
-0.907344 2.10543
-0.907286 2.10543
-0.907199 2.10543
-0.907111 2.1054
-0.906995 2.10537
-0.906908 2.10534
-0.906792 2.10534
-0.906675 2.10531
-0.90653 2.10525
-0.906443 2.10528
-0.906297 2.10523
-0.906181 2.10525
-0.906036 2.10523
-0.90589 2.1052
-0.905745 2.10517
